SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Houston County,Perry Middle School,Houston County – Perry Middle School,495,386,458,431
Houston County,Thomson Middle School,Houston County – Thomson Middle School,732,571,440,590
Houston County,Lake Joy Elementary School,Houston County – Lake Joy Elementary School,31,53,49,78
Houston County,Bonaire Middle School,Houston County – Bonaire Middle School,420,381,514,443
Houston County,Hilltop Elementary School,Houston County – Hilltop Elementary School,17,166,216,156
Houston County,Perry Primary School,Houston County – Perry Primary School,169,,,
Houston County,Bonaire Elementary School,Houston County – Bonaire Elementary School,89,167,147,155
Houston County,Northside Middle School,Houston County – Northside Middle School,294,539,544,701
Houston County,Perry High School,Houston County – Perry High School,1145,908,1849,1210
Houston County,Centerville Elementary School,Houston County – Centerville Elementary School,201,261,361,301
Houston County,Northside High School,Houston County – Northside High School,1045,757,1540,1814
Houston County,Morningside Elementary School,Houston County – Morningside Elementary School,177,185,246,221
Houston County,Westside Elementary School,Houston County – Westside Elementary School,232,277,340,322
Houston County,Parkwood Elementary School,Houston County – Parkwood Elementary School,336,469,398,378
Houston County,Tucker Elementary School,Houston County – Tucker Elementary School,187,147,178,246
Houston County,Kings Chapel Elementary School,Houston County – Kings Chapel Elementary School,117,157,142,160
Houston County,Lindsey Elementary School,Houston County – Lindsey Elementary School,347,371,338,138
Houston County,Russell Elementary School,Houston County – Russell Elementary School,288,224,240,300
Houston County,Warner Robins High School,Houston County – Warner Robins High School,1104,816,1333,1306
Houston County,Miller Elementary School,Houston County – Miller Elementary School,191,221,181,190
Houston County,Shirley Hills Elementary School,Houston County – Shirley Hills Elementary School,215,203,166,187
Houston County,Warner Robins Middle School,Houston County – Warner Robins Middle School,667,629,706,756
Irwin County,Irwin County Middle School,Irwin County – Irwin County Middle School,475,537,524,250
Irwin County,Irwin County Elementary School,Irwin County – Irwin County Elementary School,282,104,82,121
Irwin County,Irwin County High School,Irwin County – Irwin County High School,287,252,161,157
Jackson County,West Jackson Intermediate School,Jackson County – West Jackson Intermediate School,13,45,43,53
Jackson County,East Jackson Elementary School,Jackson County – East Jackson Elementary School,74,46,31,33
Jackson County,East Jackson Comprehensive High School,Jackson County – East Jackson Comprehensive High School,295,517,432,186
Jackson County,Jackson County High School,Jackson County – Jackson County High School,398,479,298,368
Jackson County,East Jackson Middle School,Jackson County – East Jackson Middle School,455,465,528,295
Jackson County,Gum Springs Elementary School,Jackson County – Gum Springs Elementary School,31,55,30,
Jackson County,West Jackson Middle School,Jackson County – West Jackson Middle School,240,156,170,109
Jackson County,Benton Elementary School,Jackson County – Benton Elementary School,32,130,76,39
Jackson County,Maysville Elementary School,Jackson County – Maysville Elementary School,105,209,28,26
Jackson County,North Jackson Elementary School,Jackson County – North Jackson Elementary School,138,106,22,55
Jackson County,South Jackson Elementary School,Jackson County – South Jackson Elementary School,89,96,86,128
Jasper County,Washington Park Elementary School,Jasper County – Washington Park Elementary School,34,66,93,54
Jasper County,Jasper County High School,Jasper County – Jasper County High School,422,601,398,418
Jasper County,Jasper County Primary School,Jasper County – Jasper County Primary School,80,104,63,43
Jasper County,Jasper County Middle School,Jasper County – Jasper County Middle School,81,189,127,254
Jeff Davis County,Jeff Davis Primary School,Jeff Davis County – Jeff Davis Primary School,469,415,337,152
Jeff Davis County,Jeff Davis Middle School,Jeff Davis County – Jeff Davis Middle School,504,677,539,638
Jeff Davis County,Jeff Davis Elementary School,Jeff Davis County – Jeff Davis Elementary School,603,334,307,337
Jeff Davis County,Jeff Davis High School,Jeff Davis County – Jeff Davis High School,544,362,434,508
Jefferson County,Jefferson County High School,Jefferson County – Jefferson County High School,278,221,242,202
Jefferson County,Louisville Middle School,Jefferson County – Louisville Middle School,127,75,47,39
Jefferson County,Wrens Middle School,Jefferson County – Wrens Middle School,80,56,71,46
Jefferson County,Carver Elementary School,Jefferson County – Carver Elementary School,55,26,18,
Jefferson County,Louisville Academy,Jefferson County – Louisville Academy,244,48,,32
Jefferson County,Wrens Elementary School,Jefferson County – Wrens Elementary School,77,10,24,28
Jenkins County,Jenkins County Middle School,Jenkins County – Jenkins County Middle School,128,235,170,236
Jenkins County,Jenkins County High School,Jenkins County – Jenkins County High School,293,312,243,253
Johnson County,Johnson County Middle School,Johnson County – Johnson County Middle School,207,201,114,121
Johnson County,Johnson County Elementary School,Johnson County – Johnson County Elementary School,90,112,94,101
Johnson County,Johnson County High School,Johnson County – Johnson County High School,374,301,167,158
Jones County,Clifton Ridge Middle School,Jones County – Clifton Ridge Middle School,261,210,209,259
Jones County,Mattie Wells Elementary School,Jones County – Mattie Wells Elementary School,78,81,32,50
Jones County,Gray Station Middle School,Jones County – Gray Station Middle School,14,,169,183
Jones County,Turner Woods Elementary School,Jones County – Turner Woods Elementary School,26,21,20,25
Jones County,Jones County High School,Jones County – Jones County High School,901,975,989,927
Jones County,Dames Ferry Elementary School,Jones County – Dames Ferry Elementary School,35,15,31,46
Jones County,Gray Elementary School,Jones County – Gray Elementary School,20,14,23,36
Lamar County,Lamar County Elementary School,Lamar County – Lamar County Elementary School,149,153,106,123
Lamar County,Lamar County Comprehensive High School,Lamar County – Lamar County Comprehensive High School,782,819,996,828
Lamar County,Lamar County Middle School,Lamar County – Lamar County Middle School,849,1127,1136,975
Lamar County,Lamar County Primary School,Lamar County – Lamar County Primary School,139,139,258,144
Lanier County,Lanier County Middle School,Lanier County – Lanier County Middle School,677,524,525,375
Lanier County,Lanier County Elementary School,Lanier County – Lanier County Elementary School,333,279,241,229
Lanier County,Lanier County High School,Lanier County – Lanier County High School,402,323,359,387
Lanier County,Lanier County Primary School,Lanier County – Lanier County Primary School,175,216,318,147
Laurens County,Southwest Laurens Elementary,Laurens County – Southwest Laurens Elementary,456,303,280,228
Laurens County,East Laurens Primary School,Laurens County – East Laurens Primary School,319,310,345,155
Laurens County,East Laurens Elementary School,Laurens County – East Laurens Elementary School,301,314,259,125
Laurens County,West Laurens High School,Laurens County – West Laurens High School,621,474,574,813
Laurens County,East Laurens High School,Laurens County – East Laurens High School,395,195,177,526
Laurens County,Northwest Laurens Elementary,Laurens County – Northwest Laurens Elementary,145,184,168,153
Laurens County,East Laurens Middle School,Laurens County – East Laurens Middle School,817,432,403,405
Laurens County,West Laurens Middle School,Laurens County – West Laurens Middle School,774,879,784,652
Lee County,Lee County Middle School,Lee County – Lee County Middle School,648,455,461,493
Lee County,Lee County Elementary School,Lee County – Lee County Elementary School,271,252,205,232
Lee County,Lee County Middle School East,Lee County – Lee County Middle School East,690,614,383,396
Lee County,Lee County Primary School,Lee County – Lee County Primary School,53,50,,46
Lee County,Lee County High School,Lee County – Lee County High School,746,901,470,498
Lee County,Kinchafoonee Primary School,Lee County – Kinchafoonee Primary School,114,85,69,79
Lee County,Lee High School 9th Grade Campus,Lee County – Lee High School 9th Grade Campus,405,359,192,214
Lee County,Twin Oaks Elementary,Lee County – Twin Oaks Elementary,160,259,166,239
Liberty County,Waldo Pafford Elementary School,Liberty County – Waldo Pafford Elementary School,109,138,90,199
Liberty County,Midway Middle School,Liberty County – Midway Middle School,457,477,344,342
Liberty County,Liberty Elementary School,Liberty County – Liberty Elementary School,230,190,258,141
Liberty County,Bradwell Institute,Liberty County – Bradwell Institute,1752,1984,1848,1985
Liberty County,Button Gwinnett Elementary School,Liberty County – Button Gwinnett Elementary School,255,237,287,138
Liberty County,Lyman Hall Elementary School,Liberty County – Lyman Hall Elementary School,470,316,413,552
Liberty County,Joseph Martin Elementary School,Liberty County – Joseph Martin Elementary School,76,281,193,107
Liberty County,Liberty County High School,Liberty County – Liberty County High School,1053,1296,1143,797
Liberty County,Taylors Creek Elementary School,Liberty County – Taylors Creek Elementary School,196,145,213,151
Liberty County,Snelson-Golden Middle School,Liberty County – Snelson-Golden Middle School,1157,795,792,420
Liberty County,Frank Long Elementary School,Liberty County – Frank Long Elementary School,370,268,198,209
Liberty County,Lewis Frasier Middle School,Liberty County – Lewis Frasier Middle School,865,884,831,990
Lincoln County,Lincoln County Middle School,Lincoln County – Lincoln County Middle School,93,165,110,77
Lincoln County,Lincoln County High School,Lincoln County – Lincoln County High School,349,385,267,311
Lincoln County,Lincoln County Elementary School,Lincoln County – Lincoln County Elementary School,74,38,43,30
Long County,Smiley Elementary School,Long County – Smiley Elementary School,764,686,547,277
Long County,Long County Middle School,Long County – Long County Middle School,1076,1094,932,719
Long County,Long County High School,Long County – Long County High School,1053,1152,758,519
Long County,Walker Elementary School,Long County – Walker Elementary School,331,284,360,307
Lowndes County,Dewar Elementary,Lowndes County – Dewar Elementary,18,22,25,34
Lowndes County,Pine Grove Middle School,Lowndes County – Pine Grove Middle School,450,143,78,44
Lowndes County,Moulton-Branch Elementary School,Lowndes County – Moulton-Branch Elementary School,102,116,65,16
Lowndes County,Pine Grove Elemetary School,Lowndes County – Pine Grove Elemetary School,23,15,13,
Lowndes County,Clyattville Elementary School,Lowndes County – Clyattville Elementary School,44,90,65,41
Lowndes County,Lowndes Middle School,Lowndes County – Lowndes Middle School,554,473,322,481
Lowndes County,Hahira Middle School,Lowndes County – Hahira Middle School,257,242,226,212
Lowndes County,Lake Park Elementary School,Lowndes County – Lake Park Elementary School,39,37,30,
Lowndes County,Lowndes High School,Lowndes County – Lowndes High School,1284,1131,974,1088
Lumpkin County,Lumpkin County High School,Lumpkin County – Lumpkin County High School,1152,916,713,651
Lumpkin County,Lumpkin County Middle School,Lumpkin County – Lumpkin County Middle School,420,318,311,428
Lumpkin County,Lumpkin County Elementary School,Lumpkin County – Lumpkin County Elementary School,25,,,
Macon County,Macon County Elementary School,Macon County – Macon County Elementary School,501,580,552,522
Macon County,Macon County Middle School,Macon County – Macon County Middle School,814,588,355,645
Macon County,Macon County High School,Macon County – Macon County High School,536,514,400,354
Madison County,Hull-Sanford Elementary School,Madison County – Hull-Sanford Elementary School,40,23,73,49
Madison County,Danielsville Elementary School,Madison County – Danielsville Elementary School,30,28,50,
Madison County,Colbert Elementary School,Madison County – Colbert Elementary School,47,16,28,
Madison County,Madison County Middle School,Madison County – Madison County Middle School,533,682,685,953
Madison County,Ila Elementary School,Madison County – Ila Elementary School,15,11,,
Madison County,Madison County High School,Madison County – Madison County High School,1061,823,698,859
Marion County,L. K. Moss Elementary School,Marion County – L. K. Moss Elementary School,138,249,533,374
Marion County,Marion County Middle/High School,Marion County – Marion County Middle/High School,707,872,604,460
McDuffie County,Thomson-McDuffie Middle School,McDuffie County – Thomson-McDuffie Middle School,1859,1504,1169,1155
McDuffie County,Norris Elementary School,McDuffie County – Norris Elementary School,195,104,157,182
McDuffie County,Maxwell Elementary School,McDuffie County – Maxwell Elementary School,73,101,57,46
McDuffie County,Dearing Elementary School,McDuffie County – Dearing Elementary School,39,,61,58
McDuffie County,Thomson High School,McDuffie County – Thomson High School,2063,2143,1990,1504
McDuffie County,Thomson Elementary School,McDuffie County – Thomson Elementary School,120,36,81,160
McIntosh County,McIntosh County Middle School,McIntosh County – McIntosh County Middle School,332,474,437,512
McIntosh County,McIntosh County Academy,McIntosh County – McIntosh County Academy,962,1242,665,550
McIntosh County,Oak Grove Intermediate School,McIntosh County – Oak Grove Intermediate School,128,237,374,
McIntosh County,Todd Grant Elementary School,McIntosh County – Todd Grant Elementary School,322,231,162,470
Meriwether County,Unity Elementary School,Meriwether County – Unity Elementary School,96,162,12,27
Meriwether County,George E. Washington Elementary School,Meriwether County – George E. Washington Elementary School,50,59,47,93
Meriwether County,Mountain View Elementary School,Meriwether County – Mountain View Elementary School,123,205,98,174
Meriwether County,Greenville High School,Meriwether County – Greenville High School,76,263,312,211
Meriwether County,Greenville Middle School,Meriwether County – Greenville Middle School,,,,151
Meriwether County,Manchester High School,Meriwether County – Manchester High School,606,520,104,225
Meriwether County,Manchester Middle School,Meriwether County – Manchester Middle School,432,162,81,190
Miller County,Miller County Elementary School,Miller County – Miller County Elementary School,372,304,362,370
Miller County,Miller County High School,Miller County – Miller County High School,243,195,216,162
Miller County,Miller County Middle School,Miller County – Miller County Middle School,131,128,90,149
Mitchell County,North Mitchell County Elementary School,Mitchell County – North Mitchell County Elementary School,66,60,138,
Mitchell County,Mitchell County Middle School,Mitchell County – Mitchell County Middle School,157,104,80,
Mitchell County,South Mitchell County Elementary School,Mitchell County – South Mitchell County Elementary School,157,,113,
Mitchell County,Mitchell County High School,Mitchell County – Mitchell County High School,84,95,64,
Monroe County,T.G. Scott Elementary School,Monroe County – T.G. Scott Elementary School,88,131,94,88
Monroe County,Katherine B. Sutton Elementary School,Monroe County – Katherine B. Sutton Elementary School,44,43,62,53
Monroe County,"Monroe County Middle School, Banks Stephens Campus","Monroe County – Monroe County Middle School, Banks Stephens Campus",504,752,679,643
Monroe County,Mary Persons High School,Monroe County – Mary Persons High School,986,1100,988,927
Monroe County,Samuel E. Hubbard Elementary School,Monroe County – Samuel E. Hubbard Elementary School,118,292,272,333
Montgomery County,Montgomery County Middle School,Montgomery County – Montgomery County Middle School,127,149,109,134
Montgomery County,New Montgomery County Elementary School,Montgomery County – New Montgomery County Elementary School,168,234,222,178
Montgomery County,Montgomery Co. High,Montgomery County – Montgomery Co. High,157,256,236,359
Morgan County,Morgan County Elementary School,Morgan County – Morgan County Elementary School,216,253,316,318
Morgan County,Morgan County High School,Morgan County – Morgan County High School,789,740,514,355
Morgan County,Morgan County Primary School,Morgan County – Morgan County Primary School,406,277,283,145
Morgan County,Morgan County Middle School,Morgan County – Morgan County Middle School,755,601,547,491
Murray County,Woodlawn Elementary School,Murray County – Woodlawn Elementary School,79,22,63,55
Murray County,Mountain Creek Academy School,Murray County – Mountain Creek Academy School,105,85,122,74
Murray County,North Murray High School,Murray County – North Murray High School,384,441,404,249
Murray County,Murray County High School,Murray County – Murray County High School,258,190,273,316
Murray County,Coker Elementary School,Murray County – Coker Elementary School,159,74,164,100
Murray County,Eton Elementary School,Murray County – Eton Elementary School,88,75,36,65
Murray County,New Bagley Middle School,Murray County – New Bagley Middle School,162,157,152,93
Murray County,Chatsworth Elementary School,Murray County – Chatsworth Elementary School,33,31,54,56
Murray County,Spring Place Elementary School,Murray County – Spring Place Elementary School,122,42,35,48
Murray County,Gladden Middle School,Murray County – Gladden Middle School,79,89,157,175
Murray County,Northwest Elementary School,Murray County – Northwest Elementary School,22,23,40,35
Muscogee County,Midland Middle School,Muscogee County – Midland Middle School,279,484,351,298
Muscogee County,Fox Elementary School,Muscogee County – Fox Elementary School,163,241,233,171
Muscogee County,North Columbus Elementary,Muscogee County – North Columbus Elementary,106,95,69,23
Muscogee County,Eagle Ridge Academy,Muscogee County – Eagle Ridge Academy,112,151,269,169
Muscogee County,Early College Academy of Columbus at Waverly Terrace,Muscogee County – Early College Academy of Columbus at Waverly Terrace,36,30,43,35
Muscogee County,Aaron Cohn Middle School,Muscogee County – Aaron Cohn Middle School,312,204,226,172
Muscogee County,Fort Middle School,Muscogee County – Fort Middle School,709,734,463,525
Muscogee County,Hannan Elementary,Muscogee County – Hannan Elementary,115,175,243,133
Muscogee County,Brewer Elementary School,Muscogee County – Brewer Elementary School,328,187,255,169
Muscogee County,Blackmon Road Middle School,Muscogee County – Blackmon Road Middle School,179,179,236,276
Muscogee County,"Martin Luther King, Jr. Elementary School","Muscogee County – Martin Luther King, Jr. Elementary School",287,268,778,379
Muscogee County,Northside High School,Muscogee County – Northside High School,333,470,584,466
Muscogee County,Veterans Memorial Middle School,Muscogee County – Veterans Memorial Middle School,342,301,342,286
Muscogee County,Shaw High School,Muscogee County – Shaw High School,618,626,703,798
Muscogee County,Downtown Elementary Magnet Academy,Muscogee County – Downtown Elementary Magnet Academy,498,601,289,290
Muscogee County,Baker Middle School,Muscogee County – Baker Middle School,2582,1499,902,816
Muscogee County,East Columbus Magnet Academy,Muscogee County – East Columbus Magnet Academy,851,695,977,1116
Muscogee County,Spencer High School,Muscogee County – Spencer High School,600,860,664,765
Muscogee County,Double Churches Middle School,Muscogee County – Double Churches Middle School,446,337,421,197
Muscogee County,Midland Academy,Muscogee County – Midland Academy,177,80,95,24
Muscogee County,Cusseta Road Elementary School,Muscogee County – Cusseta Road Elementary School,110,,,
Muscogee County,Dimon Elementary,Muscogee County – Dimon Elementary,141,101,186,79
Muscogee County,Georgetown Elementary School,Muscogee County – Georgetown Elementary School,253,207,255,157
Muscogee County,Kendrick High School,Muscogee County – Kendrick High School,719,862,1256,981
Muscogee County,Reese Road Leadership Academy,Muscogee County – Reese Road Leadership Academy,43,88,110,169
Muscogee County,Arnold Middle School,Muscogee County – Arnold Middle School,1250,1196,1328,941
Muscogee County,Blanchard Elementary School,Muscogee County – Blanchard Elementary School,87,40,102,66
Muscogee County,Clubview Elementary School,Muscogee County – Clubview Elementary School,15,17,24,53
Muscogee County,Double Churches Elementary School,Muscogee County – Double Churches Elementary School,28,,,
Muscogee County,Hardaway High School,Muscogee County – Hardaway High School,948,812,520,531
Muscogee County,Key Elementary School,Muscogee County – Key Elementary School,118,80,131,147
Muscogee County,Muscogee Elementary School,Muscogee County – Muscogee Elementary School,151,,,
Muscogee County,Richards Middle School,Muscogee County – Richards Middle School,893,780,834,639
Muscogee County,Rothschild Middle School,Muscogee County – Rothschild Middle School,1139,1352,1035,743
Muscogee County,Columbus High School,Muscogee County – Columbus High School,100,164,110,98
Muscogee County,Forrest Road Elementary School,Muscogee County – Forrest Road Elementary School,31,50,89,30
Muscogee County,Rigdon Road Elementary School,Muscogee County – Rigdon Road Elementary School,324,415,608,591
Muscogee County,St. Marys Video and Communication Technology,Muscogee County – St. Marys Video and Communication Technology,246,249,230,591
Muscogee County,Waddell Elementary School,Muscogee County – Waddell Elementary School,61,113,334,262
Muscogee County,Davis Elementary School,Muscogee County – Davis Elementary School,97,177,225,400
Muscogee County,Lonnie Jackson Academy,Muscogee County – Lonnie Jackson Academy,188,295,228,413
Muscogee County,Johnson Elementary School,Muscogee County – Johnson Elementary School,23,54,83,249
Muscogee County,Allen Elementary School,Muscogee County – Allen Elementary School,28,60,178,211
Muscogee County,River Road Elementary School,Muscogee County – River Road Elementary School,90,68,93,138
Muscogee County,South Columbus Elementary School,Muscogee County – South Columbus Elementary School,141,223,279,175
Muscogee County,Wynnton Elementary School,Muscogee County – Wynnton Elementary School,17,35,84,115
Muscogee County,Carver High School,Muscogee County – Carver High School,1293,791,667,365
Muscogee County,Dawson Elementary School,Muscogee County – Dawson Elementary School,108,193,200,146
Muscogee County,Eddy Middle School,Muscogee County – Eddy Middle School,813,727,760,774
Muscogee County,Gentian Elementary School,Muscogee County – Gentian Elementary School,51,64,105,95
Muscogee County,Jordan Vocational High School,Muscogee County – Jordan Vocational High School,1189,1427,1415,1232
Muscogee County,Wesley Heights Elementary School,Muscogee County – Wesley Heights Elementary School,138,120,141,90
Newton County,Veterans Memorial Middle School,Newton County – Veterans Memorial Middle School,360,158,350,328
Newton County,Oak Hill Elementary School,Newton County – Oak Hill Elementary School,92,92,86,78
Newton County,Rocky Plains Elementary School,Newton County – Rocky Plains Elementary School,98,130,137,115
Newton County,South Salem Elementary School,Newton County – South Salem Elementary School,213,261,273,239
Newton County,Liberty Middle School,Newton County – Liberty Middle School,883,688,597,455
Newton County,Live Oak Elementary,Newton County – Live Oak Elementary,239,288,163,163
Newton County,Clements Middle School,Newton County – Clements Middle School,489,415,502,522
Newton County,Flint Hill Elementary,Newton County – Flint Hill Elementary,259,409,324,413
Newton County,Newton County Theme School at Ficquett,Newton County – Newton County Theme School at Ficquett,48,33,33,38
Newton County,New School,Newton County – New School,113,85,44,20
Newton County,Newton High School,Newton County – Newton High School,1841,1710,2320,2045
Newton County,Cousins Middle School,Newton County – Cousins Middle School,257,302,417,386
Newton County,Middle Ridge Elementary School,Newton County – Middle Ridge Elementary School,305,330,454,403
Newton County,Alcovy High School,Newton County – Alcovy High School,1325,2046,1945,1704
Newton County,Eastside High School,Newton County – Eastside High School,866,609,732,725
Newton County,West Newton Elementary School,Newton County – West Newton Elementary School,61,143,289,153
Newton County,Indian Creek Middle School,Newton County – Indian Creek Middle School,727,646,696,730
Newton County,East Newton Elementary School,Newton County – East Newton Elementary School,70,94,92,72
Newton County,Livingston Elementary School,Newton County – Livingston Elementary School,208,236,311,234
Newton County,Mansfield Elementary School,Newton County – Mansfield Elementary School,27,,,16
Newton County,Heard-Mixon Elementary School,Newton County – Heard-Mixon Elementary School,49,53,72,70
Newton County,Porterdale Elementary School,Newton County – Porterdale Elementary School,89,243,149,89
Oconee County,North Oconee High School,Oconee County – North Oconee High School,285,362,300,269
Oconee County,Oconee County Middle School,Oconee County – Oconee County Middle School,195,157,278,139
Oconee County,Malcom Bridge Middle School,Oconee County – Malcom Bridge Middle School,139,63,81,185
Oconee County,Oconee County High School,Oconee County – Oconee County High School,194,183,234,296
Oglethorpe County,Oglethorpe County Middle School,Oglethorpe County – Oglethorpe County Middle School,339,368,272,322
Oglethorpe County,Oglethorpe County Elementary School,Oglethorpe County – Oglethorpe County Elementary School,65,293,140,242
Oglethorpe County,Oglethorpe County Primary School,Oglethorpe County – Oglethorpe County Primary School,45,94,63,59
Oglethorpe County,Oglethorpe County High School,Oglethorpe County – Oglethorpe County High School,1274,533,670,549
Paulding County,Hiram High School,Paulding County – Hiram High School,878,1105,1404,1228
Paulding County,Bessie L. Baggett Elementary,Paulding County – Bessie L. Baggett Elementary,77,64,40,44
Paulding County,Lillian C. Poole Elementary School,Paulding County – Lillian C. Poole Elementary School,108,131,79,161
Paulding County,South Paulding High School,Paulding County – South Paulding High School,1422,1692,2469,2195
Paulding County,Sammy McClure Sr. Middle School,Paulding County – Sammy McClure Sr. Middle School,338,305,378,371
Paulding County,North Paulding High School,Paulding County – North Paulding High School,471,574,780,598
Paulding County,Burnt Hickory Elementary School,Paulding County – Burnt Hickory Elementary School,126,120,69,183
Paulding County,WC Abney Elementary,Paulding County – WC Abney Elementary,78,34,79,69
Paulding County,McGarity Elementary School,Paulding County – McGarity Elementary School,25,42,14,30
Paulding County,South Paulding Middle School,Paulding County – South Paulding Middle School,464,547,455,413
Paulding County,Floyd L. Shelton Elementary School at Crossroad,Paulding County – Floyd L. Shelton Elementary School at Crossroad,66,43,48,62
Paulding County,Sam D. Panter Elementary School,Paulding County – Sam D. Panter Elementary School,137,115,154,152
Paulding County,Nebo Elementary School,Paulding County – Nebo Elementary School,45,49,88,99
Paulding County,C. A. Roberts Elementary School,Paulding County – C. A. Roberts Elementary School,29,38,31,37
Paulding County,Lena Mae Moses Middle School,Paulding County – Lena Mae Moses Middle School,280,323,223,367
Paulding County,Roland W. Russom Elementary,Paulding County – Roland W. Russom Elementary,54,43,21,12
Paulding County,Sara M. Ragsdale Elementary,Paulding County – Sara M. Ragsdale Elementary,51,87,56,74
Paulding County,P. B. Ritch Middle School,Paulding County – P. B. Ritch Middle School,857,949,589,614
Paulding County,East Paulding High School,Paulding County – East Paulding High School,1460,1198,1098,729
Paulding County,Northside Elementary School,Paulding County – Northside Elementary School,76,65,83,52
Paulding County,J. A. Dobbins Middle School,Paulding County – J. A. Dobbins Middle School,417,604,493,730
Paulding County,Allgood Elementary School,Paulding County – Allgood Elementary School,98,172,157,102
Paulding County,Connie Dugan Elementary School,Paulding County – Connie Dugan Elementary School,51,,29,34
Paulding County,Hal Hutchens Elementary,Paulding County – Hal Hutchens Elementary,183,176,56,60
Paulding County,East Paulding Middle School,Paulding County – East Paulding Middle School,527,380,398,346
Paulding County,Irma C. Austin Middle School,Paulding County – Irma C. Austin Middle School,473,578,637,749
Paulding County,Carl Scoggins Sr. Middle school,Paulding County – Carl Scoggins Sr. Middle school,507,671,882,740
Paulding County,Dallas Elementary School,Paulding County – Dallas Elementary School,113,131,225,208
Paulding County,Herschel Jones Middle School,Paulding County – Herschel Jones Middle School,528,552,969,913
Paulding County,Paulding County High School,Paulding County – Paulding County High School,2556,2052,1684,1273
Paulding County,Union Elementary School,Paulding County – Union Elementary School,66,27,20,20
Paulding County,Hiram Elementary School,Paulding County – Hiram Elementary School,46,62,63,78
Peach County,Kay Road Elementary,Peach County – Kay Road Elementary,126,136,85,156
Peach County,Fort Valley Middle School,Peach County – Fort Valley Middle School,752,485,514,639
Peach County,Byron Middle School,Peach County – Byron Middle School,137,209,172,190
Peach County,Hunt Elementary School,Peach County – Hunt Elementary School,241,237,374,728
Peach County,Byron Elementary School,Peach County – Byron Elementary School,134,69,157,249
Peach County,Peach County High School,Peach County – Peach County High School,581,640,840,729
Pickens County,Pickens County Middle School,Pickens County – Pickens County Middle School,259,152,219,191
Pickens County,Pickens County High School,Pickens County – Pickens County High School,221,180,458,409
Pierce County,Midway Elementary School,Pierce County – Midway Elementary School,73,65,47,22
Pierce County,Pierce County High School,Pierce County – Pierce County High School,889,657,675,507
Pierce County,Pierce County Middle School,Pierce County – Pierce County Middle School,373,520,366,258
Pierce County,Blackshear Elementary School,Pierce County – Blackshear Elementary School,180,133,154,124
Pierce County,Patterson Elementary School,Pierce County – Patterson Elementary School,58,34,20,
Pike County,Pike County Elementary School,Pike County – Pike County Elementary School,110,71,85,54
Pike County,Pike County Primary School,Pike County – Pike County Primary School,64,65,82,109
Pike County,Pike County High School,Pike County – Pike County High School,656,1211,718,383
Pike County,Pike County Middle School,Pike County – Pike County Middle School,388,643,550,533
Polk County,Rockmart High School,Polk County – Rockmart High School,420,410,422,517
Polk County,Cedartown Middle School,Polk County – Cedartown Middle School,620,476,496,562
Polk County,Rockmart Middle School,Polk County – Rockmart Middle School,337,373,469,410
Polk County,Westside Elementary School,Polk County – Westside Elementary School,27,65,55,79
Polk County,Northside Elementary,Polk County – Northside Elementary,48,,32,22
Polk County,Harpst Academy,Polk County – Harpst Academy,73,558,486,542
Polk County,Van Wert Elementary School,Polk County – Van Wert Elementary School,257,169,216,89
Polk County,Eastside Elementary School,Polk County – Eastside Elementary School,66,54,91,55
Polk County,Youngs Grove Elementary School,Polk County – Youngs Grove Elementary School,21,13,30,21
Polk County,Cedartown High School,Polk County – Cedartown High School,288,344,336,368
Pulaski County,Pulaski County Middle School,Pulaski County – Pulaski County Middle School,485,564,630,583
Pulaski County,Hawkinsville High School,Pulaski County – Hawkinsville High School,498,360,370,376
Pulaski County,Pulaski County Elementary School,Pulaski County – Pulaski County Elementary School,572,705,666,426
Putnam County,Putnam County Middle School,Putnam County – Putnam County Middle School,852,777,513,707
Putnam County,Putnam County Primary School,Putnam County – Putnam County Primary School,51,24,25,
Putnam County,Putnam County Elementary School,Putnam County – Putnam County Elementary School,100,53,143,140
Putnam County,Putnam County High School,Putnam County – Putnam County High School,1023,1115,1030,925
Quitman County,Quitman County High School,Quitman County – Quitman County High School,30,23,34,82
Quitman County,Quitman County Elementary,Quitman County – Quitman County Elementary,124,245,78,224
Rabun County,Rabun County Middle School,Rabun County – Rabun County Middle School,192,116,146,127
Rabun County,Rabun County Elementary School,Rabun County – Rabun County Elementary School,143,102,96,187
Rabun County,Rabun County Primary School,Rabun County – Rabun County Primary School,158,111,112,124
Rabun County,Rabun County High School,Rabun County – Rabun County High School,518,388,344,284
Randolph County,Randolph Clay Middle School,Randolph County – Randolph Clay Middle School,342,373,324,139
Randolph County,Randolph Clay High School,Randolph County – Randolph Clay High School,686,540,284,262
Randolph County,Randolph County Elementary School,Randolph County – Randolph County Elementary School,1069,735,889,708
Richmond County,Cross Creek High School,Richmond County – Cross Creek High School,1603,1542,2087,2761
Richmond County,Craig-Houghton Elementary School,Richmond County – Craig-Houghton Elementary School,15,554,504,221
Richmond County,Hephzibah Elementary School,Richmond County – Hephzibah Elementary School,77,110,21,83
Richmond County,Freedom Park Elementary,Richmond County – Freedom Park Elementary,112,61,,142
Richmond County,Wilkinson Gardens Elementary School,Richmond County – Wilkinson Gardens Elementary School,213,64,609,461
Richmond County,Deer Chase Elementary School,Richmond County – Deer Chase Elementary School,74,92,184,86
