SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Effingham County,Sand Hill Elementary School,715,Sand Hill Elementary School's enrollment is in the 42nd percentile of all Georgia schools.,28,3.9,Sand Hill Elementary School's percentage of students with discipline incidents is in the 19th percentile of all Georgia schools.,37,Sand Hill Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.052,Sand Hill Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Effingham County,South Effingham High School,1694,South Effingham High School's enrollment is in the 93rd percentile of all Georgia schools.,321,18.9,South Effingham High School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,806,South Effingham High School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,0.476,South Effingham High School's incidents per student rate is in the 75th percentile of all Georgia schools.
Effingham County,Ebenezer Middle School,852,Ebenezer Middle School's enrollment is in the 59th percentile of all Georgia schools.,216,25.4,Ebenezer Middle School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,658,Ebenezer Middle School's total number of discipline incidents is in the 86th percentile of all Georgia schools.,0.772,Ebenezer Middle School's incidents per student rate is in the 90th percentile of all Georgia schools.
Effingham County,Effingham County Middle School,899,Effingham County Middle School's enrollment is in the 64th percentile of all Georgia schools.,296,32.9,Effingham County Middle School's percentage of students with discipline incidents is in the 93rd percentile of all Georgia schools.,925,Effingham County Middle School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,1.029,Effingham County Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Effingham County,Ebenezer Elementary School,823,Ebenezer Elementary School's enrollment is in the 56th percentile of all Georgia schools.,14,1.7,Ebenezer Elementary School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,19,Ebenezer Elementary School's total number of discipline incidents is in the 3rd percentile of all Georgia schools.,0.023,Ebenezer Elementary School's incidents per student rate is in the 2nd percentile of all Georgia schools.
Effingham County,South Effingham Middle School,1135,South Effingham Middle School's enrollment is in the 80th percentile of all Georgia schools.,218,19.2,South Effingham Middle School's percentage of students with discipline incidents is in the 71st percentile of all Georgia schools.,501,South Effingham Middle School's total number of discipline incidents is in the 79th percentile of all Georgia schools.,0.441,South Effingham Middle School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Effingham County,Effingham County High School,1977,Effingham County High School's enrollment is in the 96th percentile of all Georgia schools.,472,23.9,Effingham County High School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,1451,Effingham County High School's total number of discipline incidents is in the 98th percentile of all Georgia schools.,0.734,Effingham County High School's incidents per student rate is in the 88th percentile of all Georgia schools.
Effingham County,Rincon Elementary School,801,Rincon Elementary School's enrollment is in the 53rd percentile of all Georgia schools.,41,5.1,Rincon Elementary School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,96,Rincon Elementary School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.12,Rincon Elementary School's incidents per student rate is in the 33rd percentile of all Georgia schools.
Elbert County,Elbert County Middle School,912,Elbert County Middle School's enrollment is in the 66th percentile of all Georgia schools.,176,19.3,Elbert County Middle School's percentage of students with discipline incidents is in the 71st percentile of all Georgia schools.,454,Elbert County Middle School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.498,Elbert County Middle School's incidents per student rate is in the 76th percentile of all Georgia schools.
Elbert County,Elbert County High School,866,Elbert County High School's enrollment is in the 61st percentile of all Georgia schools.,191,22.1,Elbert County High School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,507,Elbert County High School's total number of discipline incidents is in the 80th percentile of all Georgia schools.,0.585,Elbert County High School's incidents per student rate is in the 81st percentile of all Georgia schools.
Elbert County,Elbert County Primary School,489,Elbert County Primary School's enrollment is in the 15th percentile of all Georgia schools.,99,20.2,Elbert County Primary School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,248,Elbert County Primary School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.507,Elbert County Primary School's incidents per student rate is in the 77th percentile of all Georgia schools.
Elbert County,Elbert County Elementary School,775,Elbert County Elementary School's enrollment is in the 50th percentile of all Georgia schools.,135,17.4,Elbert County Elementary School's percentage of students with discipline incidents is in the 67th percentile of all Georgia schools.,262,Elbert County Elementary School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.338,Elbert County Elementary School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Emanuel County,Twin City Elementary School,666,Twin City Elementary School's enrollment is in the 36th percentile of all Georgia schools.,24,3.6,Twin City Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,53,Twin City Elementary School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.08,Twin City Elementary School's incidents per student rate is in the 22nd percentile of all Georgia schools.
Emanuel County,Swainsboro High School,766,Swainsboro High School's enrollment is in the 48th percentile of all Georgia schools.,226,29.5,Swainsboro High School's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,634,Swainsboro High School's total number of discipline incidents is in the 85th percentile of all Georgia schools.,0.828,Swainsboro High School's incidents per student rate is in the 91st percentile of all Georgia schools.
Emanuel County,Swainsboro Middle School,732,Swainsboro Middle School's enrollment is in the 44th percentile of all Georgia schools.,278,38,Swainsboro Middle School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,897,Swainsboro Middle School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.225,Swainsboro Middle School's incidents per student rate is in the 97th percentile of all Georgia schools.
Emanuel County,Swainsboro Primary School,1052,Swainsboro Primary School's enrollment is in the 75th percentile of all Georgia schools.,56,5.3,Swainsboro Primary School's percentage of students with discipline incidents is in the 26th percentile of all Georgia schools.,135,Swainsboro Primary School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.128,Swainsboro Primary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Emanuel County,Swainsboro Elementary School,820,Swainsboro Elementary School's enrollment is in the 55th percentile of all Georgia schools.,68,8.3,Swainsboro Elementary School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,132,Swainsboro Elementary School's total number of discipline incidents is in the 43rd percentile of all Georgia schools.,0.161,Swainsboro Elementary School's incidents per student rate is in the 40th percentile of all Georgia schools.
Emanuel County,Emanuel County Institute,689,Emanuel County Institute's enrollment is in the 38th percentile of all Georgia schools.,155,22.5,Emanuel County Institute's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,329,Emanuel County Institute's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.478,Emanuel County Institute's incidents per student rate is in the 75th percentile of all Georgia schools.
Evans County,Claxton Elementary School,1108,Claxton Elementary School's enrollment is in the 78th percentile of all Georgia schools.,67,6,Claxton Elementary School's percentage of students with discipline incidents is in the 30th percentile of all Georgia schools.,122,Claxton Elementary School's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.11,Claxton Elementary School's incidents per student rate is in the 30th percentile of all Georgia schools.
Evans County,Claxton High School,459,Claxton High School's enrollment is in the 12th percentile of all Georgia schools.,68,14.8,Claxton High School's percentage of students with discipline incidents is in the 60th percentile of all Georgia schools.,117,Claxton High School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.255,Claxton High School's incidents per student rate is in the 53rd percentile of all Georgia schools.
Evans County,Claxton Middle School,450,Claxton Middle School's enrollment is in the 11th percentile of all Georgia schools.,50,11.1,Claxton Middle School's percentage of students with discipline incidents is in the 49th percentile of all Georgia schools.,65,Claxton Middle School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.144,Claxton Middle School's incidents per student rate is in the 38th percentile of all Georgia schools.
Fannin County,Fannin County High School,974,Fannin County High School's enrollment is in the 70th percentile of all Georgia schools.,227,23.3,Fannin County High School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,429,Fannin County High School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.44,Fannin County High School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Fannin County,Fannin County Middle School,751,Fannin County Middle School's enrollment is in the 46th percentile of all Georgia schools.,141,18.8,Fannin County Middle School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,249,Fannin County Middle School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.332,Fannin County Middle School's incidents per student rate is in the 62nd percentile of all Georgia schools.
Fannin County,East Fannin Elementary School,426,East Fannin Elementary School's enrollment is in the 10th percentile of all Georgia schools.,22,5.2,East Fannin Elementary School's percentage of students with discipline incidents is in the 26th percentile of all Georgia schools.,65,East Fannin Elementary School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.153,East Fannin Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Fannin County,West Fannin Elementary School,497,West Fannin Elementary School's enrollment is in the 16th percentile of all Georgia schools.,36,7.2,West Fannin Elementary School's percentage of students with discipline incidents is in the 35th percentile of all Georgia schools.,63,West Fannin Elementary School's total number of discipline incidents is in the 25th percentile of all Georgia schools.,0.127,West Fannin Elementary School's incidents per student rate is in the 34th percentile of all Georgia schools.
Fayette County,Cleveland Elementary School,525,Cleveland Elementary School's enrollment is in the 19th percentile of all Georgia schools.,34,6.5,Cleveland Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,75,Cleveland Elementary School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.143,Cleveland Elementary School's incidents per student rate is in the 37th percentile of all Georgia schools.
Fayette County,Sara Harp Minter Elementary School,753,Sara Harp Minter Elementary School's enrollment is in the 46th percentile of all Georgia schools.,16,2.1,Sara Harp Minter Elementary School's percentage of students with discipline incidents is in the 5th percentile of all Georgia schools.,72,Sara Harp Minter Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.096,Sara Harp Minter Elementary School's incidents per student rate is in the 27th percentile of all Georgia schools.
Fayette County,Whitewater High School,1506,Whitewater High School's enrollment is in the 90th percentile of all Georgia schools.,176,11.7,Whitewater High School's percentage of students with discipline incidents is in the 51st percentile of all Georgia schools.,327,Whitewater High School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.217,Whitewater High School's incidents per student rate is in the 48th percentile of all Georgia schools.
Fayette County,Bennett's Mill Middle School,1011,Bennett's Mill Middle School's enrollment is in the 73rd percentile of all Georgia schools.,182,18,Bennett's Mill Middle School's percentage of students with discipline incidents is in the 68th percentile of all Georgia schools.,414,Bennett's Mill Middle School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.409,Bennett's Mill Middle School's incidents per student rate is in the 69th percentile of all Georgia schools.
Fayette County,Inman Elementary,698,Inman Elementary's enrollment is in the 39th percentile of all Georgia schools.,24,3.4,Inman Elementary's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,48,Inman Elementary's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.069,Inman Elementary's incidents per student rate is in the 19th percentile of all Georgia schools.
Fayette County,Booth Middle School,1243,Booth Middle School's enrollment is in the 84th percentile of all Georgia schools.,126,10.1,Booth Middle School's percentage of students with discipline incidents is in the 46th percentile of all Georgia schools.,212,Booth Middle School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.171,Booth Middle School's incidents per student rate is in the 42nd percentile of all Georgia schools.
Fayette County,Huddleston Elementary School,664,Huddleston Elementary School's enrollment is in the 36th percentile of all Georgia schools.,20,3,Huddleston Elementary School's percentage of students with discipline incidents is in the 12th percentile of all Georgia schools.,44,Huddleston Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.066,Huddleston Elementary School's incidents per student rate is in the 18th percentile of all Georgia schools.
Fayette County,North Fayette Elementary School,707,North Fayette Elementary School's enrollment is in the 41st percentile of all Georgia schools.,76,10.7,North Fayette Elementary School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,117,North Fayette Elementary School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.165,North Fayette Elementary School's incidents per student rate is in the 41st percentile of all Georgia schools.
Fayette County,McIntosh High School,1744,McIntosh High School's enrollment is in the 94th percentile of all Georgia schools.,134,7.7,McIntosh High School's percentage of students with discipline incidents is in the 38th percentile of all Georgia schools.,257,McIntosh High School's total number of discipline incidents is in the 63rd percentile of all Georgia schools.,0.147,McIntosh High School's incidents per student rate is in the 38th percentile of all Georgia schools.
Fayette County,Oak Grove Elementary School,533,Oak Grove Elementary School's enrollment is in the 20th percentile of all Georgia schools.,17,3.2,Oak Grove Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,27,Oak Grove Elementary School's total number of discipline incidents is in the 8th percentile of all Georgia schools.,0.051,Oak Grove Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Fayette County,Sandy Creek High School,1285,Sandy Creek High School's enrollment is in the 85th percentile of all Georgia schools.,224,17.4,Sandy Creek High School's percentage of students with discipline incidents is in the 67th percentile of all Georgia schools.,437,Sandy Creek High School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.34,Sandy Creek High School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Fayette County,Starrs Mill High School,1453,Starrs Mill High School's enrollment is in the 90th percentile of all Georgia schools.,110,7.6,Starrs Mill High School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,185,Starrs Mill High School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.127,Starrs Mill High School's incidents per student rate is in the 34th percentile of all Georgia schools.
Fayette County,Peeples Elementary School,740,Peeples Elementary School's enrollment is in the 45th percentile of all Georgia schools.,18,2.4,Peeples Elementary School's percentage of students with discipline incidents is in the 8th percentile of all Georgia schools.,29,Peeples Elementary School's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.039,Peeples Elementary School's incidents per student rate is in the 8th percentile of all Georgia schools.
Fayette County,Robert J. Burch Elementary School,575,Robert J. Burch Elementary School's enrollment is in the 24th percentile of all Georgia schools.,31,5.4,Robert J. Burch Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,65,Robert J. Burch Elementary School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.113,Robert J. Burch Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Fayette County,Spring Hill Elementary School,767,Spring Hill Elementary School's enrollment is in the 48th percentile of all Georgia schools.,22,2.9,Spring Hill Elementary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,44,Spring Hill Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.057,Spring Hill Elementary School's incidents per student rate is in the 15th percentile of all Georgia schools.
Fayette County,Rising Starr Middle School,963,Rising Starr Middle School's enrollment is in the 69th percentile of all Georgia schools.,96,10,Rising Starr Middle School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,176,Rising Starr Middle School's total number of discipline incidents is in the 52nd percentile of all Georgia schools.,0.183,Rising Starr Middle School's incidents per student rate is in the 44th percentile of all Georgia schools.
Fayette County,Whitewater Middle School,927,Whitewater Middle School's enrollment is in the 67th percentile of all Georgia schools.,109,11.8,Whitewater Middle School's percentage of students with discipline incidents is in the 51st percentile of all Georgia schools.,213,Whitewater Middle School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.23,Whitewater Middle School's incidents per student rate is in the 51st percentile of all Georgia schools.
Fayette County,Fayette County High School,1446,Fayette County High School's enrollment is in the 90th percentile of all Georgia schools.,264,18.3,Fayette County High School's percentage of students with discipline incidents is in the 69th percentile of all Georgia schools.,538,Fayette County High School's total number of discipline incidents is in the 81st percentile of all Georgia schools.,0.372,Fayette County High School's incidents per student rate is in the 66th percentile of all Georgia schools.
Fayette County,Hood Avenue Primary School,521,Hood Avenue Primary School's enrollment is in the 18th percentile of all Georgia schools.,29,5.6,Hood Avenue Primary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,48,Hood Avenue Primary School's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.092,Hood Avenue Primary School's incidents per student rate is in the 25th percentile of all Georgia schools.
Fayette County,Flat Rock Middle School,860,Flat Rock Middle School's enrollment is in the 60th percentile of all Georgia schools.,197,22.9,Flat Rock Middle School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,404,Flat Rock Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.47,Flat Rock Middle School's incidents per student rate is in the 74th percentile of all Georgia schools.
Floyd County,Johnson Elementary,591,Johnson Elementary's enrollment is in the 26th percentile of all Georgia schools.,30,5.1,Johnson Elementary's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,66,Johnson Elementary's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.112,Johnson Elementary's incidents per student rate is in the 31st percentile of all Georgia schools.
Floyd County,Coosa Middle School,627,Coosa Middle School's enrollment is in the 31st percentile of all Georgia schools.,123,19.6,Coosa Middle School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,301,Coosa Middle School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.48,Coosa Middle School's incidents per student rate is in the 75th percentile of all Georgia schools.
Floyd County,Pepperell High School,914,Pepperell High School's enrollment is in the 66th percentile of all Georgia schools.,97,10.6,Pepperell High School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,160,Pepperell High School's total number of discipline incidents is in the 50th percentile of all Georgia schools.,0.175,Pepperell High School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Floyd County,Model High,715,Model High's enrollment is in the 42nd percentile of all Georgia schools.,109,15.2,Model High's percentage of students with discipline incidents is in the 61st percentile of all Georgia schools.,148,Model High's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.207,Model High's incidents per student rate is in the 47th percentile of all Georgia schools.
Floyd County,Model Elementary School,587,Model Elementary School's enrollment is in the 26th percentile of all Georgia schools.,20,3.4,Model Elementary School's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,24,Model Elementary School's total number of discipline incidents is in the 6th percentile of all Georgia schools.,0.041,Model Elementary School's incidents per student rate is in the 9th percentile of all Georgia schools.
Floyd County,Pepperell Elementary,764,Pepperell Elementary's enrollment is in the 48th percentile of all Georgia schools.,55,7.2,Pepperell Elementary's percentage of students with discipline incidents is in the 35th percentile of all Georgia schools.,148,Pepperell Elementary's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.194,Pepperell Elementary's incidents per student rate is in the 45th percentile of all Georgia schools.
Floyd County,Model Middle School,630,Model Middle School's enrollment is in the 31st percentile of all Georgia schools.,70,11.1,Model Middle School's percentage of students with discipline incidents is in the 49th percentile of all Georgia schools.,137,Model Middle School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.217,Model Middle School's incidents per student rate is in the 48th percentile of all Georgia schools.
Floyd County,Pepperell Middle School,769,Pepperell Middle School's enrollment is in the 49th percentile of all Georgia schools.,128,16.6,Pepperell Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,239,Pepperell Middle School's total number of discipline incidents is in the 61st percentile of all Georgia schools.,0.311,Pepperell Middle School's incidents per student rate is in the 60th percentile of all Georgia schools.
Floyd County,Armuchee Middle School,416,Armuchee Middle School's enrollment is in the 9th percentile of all Georgia schools.,49,11.8,Armuchee Middle School's percentage of students with discipline incidents is in the 51st percentile of all Georgia schools.,93,Armuchee Middle School's total number of discipline incidents is in the 35th percentile of all Georgia schools.,0.224,Armuchee Middle School's incidents per student rate is in the 50th percentile of all Georgia schools.
Floyd County,Armuchee High School,548,Armuchee High School's enrollment is in the 21st percentile of all Georgia schools.,55,10,Armuchee High School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,75,Armuchee High School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.137,Armuchee High School's incidents per student rate is in the 36th percentile of all Georgia schools.
Floyd County,Alto Park Elementary School,552,Alto Park Elementary School's enrollment is in the 22nd percentile of all Georgia schools.,16,2.9,Alto Park Elementary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,40,Alto Park Elementary School's total number of discipline incidents is in the 16th percentile of all Georgia schools.,0.072,Alto Park Elementary School's incidents per student rate is in the 20th percentile of all Georgia schools.
Floyd County,Glenwood Primary School,483,Glenwood Primary School's enrollment is in the 14th percentile of all Georgia schools.,11,2.3,Glenwood Primary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,26,Glenwood Primary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.054,Glenwood Primary School's incidents per student rate is in the 14th percentile of all Georgia schools.
Floyd County,Pepperell Primary,590,Pepperell Primary's enrollment is in the 26th percentile of all Georgia schools.,24,4.1,Pepperell Primary's percentage of students with discipline incidents is in the 20th percentile of all Georgia schools.,39,Pepperell Primary's total number of discipline incidents is in the 15th percentile of all Georgia schools.,0.066,Pepperell Primary's incidents per student rate is in the 18th percentile of all Georgia schools.
Floyd County,Coosa High School,766,Coosa High School's enrollment is in the 48th percentile of all Georgia schools.,149,19.5,Coosa High School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,249,Coosa High School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.325,Coosa High School's incidents per student rate is in the 62nd percentile of all Georgia schools.
Forsyth County,Cumming Elementary School,1035,Cumming Elementary School's enrollment is in the 74th percentile of all Georgia schools.,23,2.2,Cumming Elementary School's percentage of students with discipline incidents is in the 6th percentile of all Georgia schools.,37,Cumming Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.036,Cumming Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Forsyth County,Sharon Elementary School,1053,Sharon Elementary School's enrollment is in the 75th percentile of all Georgia schools.,18,1.7,Sharon Elementary School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,71,Sharon Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.067,Sharon Elementary School's incidents per student rate is in the 18th percentile of all Georgia schools.
Forsyth County,Riverwatch Middle School,1392,Riverwatch Middle School's enrollment is in the 88th percentile of all Georgia schools.,80,5.7,Riverwatch Middle School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,129,Riverwatch Middle School's total number of discipline incidents is in the 43rd percentile of all Georgia schools.,0.093,Riverwatch Middle School's incidents per student rate is in the 26th percentile of all Georgia schools.
Forsyth County,Shiloh Point Elementary,1321,Shiloh Point Elementary's enrollment is in the 86th percentile of all Georgia schools.,13,1,Shiloh Point Elementary's percentage of students with discipline incidents is in the 0th percentile of all Georgia schools.,16,Shiloh Point Elementary's total number of discipline incidents is in the 2nd percentile of all Georgia schools.,0.012,Shiloh Point Elementary's incidents per student rate is in the 0th percentile of all Georgia schools.
Forsyth County,West Forsyth High School,2671,West Forsyth High School's enrollment is in the 99th percentile of all Georgia schools.,163,6.1,West Forsyth High School's percentage of students with discipline incidents is in the 30th percentile of all Georgia schools.,254,West Forsyth High School's total number of discipline incidents is in the 63rd percentile of all Georgia schools.,0.095,West Forsyth High School's incidents per student rate is in the 26th percentile of all Georgia schools.
Forsyth County,Coal Mountain Elementary School,776,Coal Mountain Elementary School's enrollment is in the 50th percentile of all Georgia schools.,19,2.4,Coal Mountain Elementary School's percentage of students with discipline incidents is in the 8th percentile of all Georgia schools.,49,Coal Mountain Elementary School's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.063,Coal Mountain Elementary School's incidents per student rate is in the 17th percentile of all Georgia schools.
Forsyth County,South Forsyth High School,3277,South Forsyth High School's enrollment is in the 100th percentile of all Georgia schools.,146,4.5,South Forsyth High School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,223,South Forsyth High School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.068,South Forsyth High School's incidents per student rate is in the 19th percentile of all Georgia schools.
Forsyth County,Chattahoochee Elementary School,830,Chattahoochee Elementary School's enrollment is in the 56th percentile of all Georgia schools.,14,1.7,Chattahoochee Elementary School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,30,Chattahoochee Elementary School's total number of discipline incidents is in the 10th percentile of all Georgia schools.,0.036,Chattahoochee Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Forsyth County,North Forsyth High School,2574,North Forsyth High School's enrollment is in the 99th percentile of all Georgia schools.,327,12.7,North Forsyth High School's percentage of students with discipline incidents is in the 54th percentile of all Georgia schools.,710,North Forsyth High School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,0.276,North Forsyth High School's incidents per student rate is in the 56th percentile of all Georgia schools.
Forsyth County,Daves Creek Elementary School,1169,Daves Creek Elementary School's enrollment is in the 81st percentile of all Georgia schools.,11,0.9,Daves Creek Elementary School's percentage of students with discipline incidents is in the 0th percentile of all Georgia schools.,16,Daves Creek Elementary School's total number of discipline incidents is in the 2nd percentile of all Georgia schools.,0.014,Daves Creek Elementary School's incidents per student rate is in the 0th percentile of all Georgia schools.
Forsyth County,Vickery Creek Middle School,1262,Vickery Creek Middle School's enrollment is in the 84th percentile of all Georgia schools.,74,5.9,Vickery Creek Middle School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,116,Vickery Creek Middle School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.092,Vickery Creek Middle School's incidents per student rate is in the 25th percentile of all Georgia schools.
Forsyth County,Otwell Middle School,1327,Otwell Middle School's enrollment is in the 86th percentile of all Georgia schools.,138,10.4,Otwell Middle School's percentage of students with discipline incidents is in the 47th percentile of all Georgia schools.,274,Otwell Middle School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.206,Otwell Middle School's incidents per student rate is in the 47th percentile of all Georgia schools.
Forsyth County,Sawnee Elementary School,1420,Sawnee Elementary School's enrollment is in the 89th percentile of all Georgia schools.,11,0.8,Sawnee Elementary School's percentage of students with discipline incidents is in the 0th percentile of all Georgia schools.,54,Sawnee Elementary School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.038,Sawnee Elementary School's incidents per student rate is in the 8th percentile of all Georgia schools.
Forsyth County,Chestatee Elementary,1113,Chestatee Elementary's enrollment is in the 79th percentile of all Georgia schools.,46,4.1,Chestatee Elementary's percentage of students with discipline incidents is in the 20th percentile of all Georgia schools.,118,Chestatee Elementary's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.106,Chestatee Elementary's incidents per student rate is in the 28th percentile of all Georgia schools.
Forsyth County,Little Mill Middle School,930,Little Mill Middle School's enrollment is in the 67th percentile of all Georgia schools.,131,14.1,Little Mill Middle School's percentage of students with discipline incidents is in the 57th percentile of all Georgia schools.,397,Little Mill Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.427,Little Mill Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Forsyth County,Brookwood Elementary,1110,Brookwood Elementary's enrollment is in the 79th percentile of all Georgia schools.,18,1.6,Brookwood Elementary's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,28,Brookwood Elementary's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.025,Brookwood Elementary's incidents per student rate is in the 3rd percentile of all Georgia schools.
Forsyth County,George W. Whitlow Elementary,1261,George W. Whitlow Elementary's enrollment is in the 84th percentile of all Georgia schools.,27,2.1,George W. Whitlow Elementary's percentage of students with discipline incidents is in the 5th percentile of all Georgia schools.,54,George W. Whitlow Elementary's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.043,George W. Whitlow Elementary's incidents per student rate is in the 10th percentile of all Georgia schools.
Forsyth County,Lambert High School,2977,Lambert High School's enrollment is in the 99th percentile of all Georgia schools.,146,4.9,Lambert High School's percentage of students with discipline incidents is in the 24th percentile of all Georgia schools.,193,Lambert High School's total number of discipline incidents is in the 55th percentile of all Georgia schools.,0.065,Lambert High School's incidents per student rate is in the 18th percentile of all Georgia schools.
