SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Chickamauga City,All Schools,795,Chickamauga City's enrollment is in the 13rd percentile of all Georgia school systems.,86,10.8,Chickamauga City's percentage of students with discipline incidents is in the 21st percentile of all Georgia school systems.,108,Chickamauga City's total number of discipline incidents is in the 10th percentile of all Georgia school systems.,0.136,Chickamauga City's incidents per student rate is in the 11th percentile of all Georgia school systems.
Clarke County,All Schools,14426,Clarke County's enrollment is in the 87th percentile of all Georgia school systems.,2029,14.1,Clarke County's percentage of students with discipline incidents is in the 45th percentile of all Georgia school systems.,5476,Clarke County's total number of discipline incidents is in the 89th percentile of all Georgia school systems.,0.38,Clarke County's incidents per student rate is in the 56th percentile of all Georgia school systems.
Clay County,All Schools,259,Clay County's enrollment is in the 3rd percentile of all Georgia school systems.,93,35.9,Clay County's percentage of students with discipline incidents is in the 99th percentile of all Georgia school systems.,263,Clay County's total number of discipline incidents is in the 15th percentile of all Georgia school systems.,1.015,Clay County's incidents per student rate is in the 98th percentile of all Georgia school systems.
Clayton County,All Schools,62973,Clayton County's enrollment is in the 98th percentile of all Georgia school systems.,8992,14.3,Clayton County's percentage of students with discipline incidents is in the 45th percentile of all Georgia school systems.,20724,Clayton County's total number of discipline incidents is in the 97th percentile of all Georgia school systems.,0.329,Clayton County's incidents per student rate is in the 51st percentile of all Georgia school systems.
Clinch County,All Schools,1502,Clinch County's enrollment is in the 26th percentile of all Georgia school systems.,374,24.9,Clinch County's percentage of students with discipline incidents is in the 88th percentile of all Georgia school systems.,1112,Clinch County's total number of discipline incidents is in the 48th percentile of all Georgia school systems.,0.74,Clinch County's incidents per student rate is in the 91st percentile of all Georgia school systems.
Cobb County,All Schools,119964,Cobb County's enrollment is in the 99th percentile of all Georgia school systems.,14394,12,Cobb County's percentage of students with discipline incidents is in the 27th percentile of all Georgia school systems.,32368,Cobb County's total number of discipline incidents is in the 99th percentile of all Georgia school systems.,0.27,Cobb County's incidents per student rate is in the 35th percentile of all Georgia school systems.
Coffee County,All Schools,8493,Coffee County's enrollment is in the 77th percentile of all Georgia school systems.,1478,17.4,Coffee County's percentage of students with discipline incidents is in the 62nd percentile of all Georgia school systems.,3691,Coffee County's total number of discipline incidents is in the 80th percentile of all Georgia school systems.,0.435,Coffee County's incidents per student rate is in the 64th percentile of all Georgia school systems.
Colquitt County,All Schools,9474,Colquitt County's enrollment is in the 81st percentile of all Georgia school systems.,1304,13.8,Colquitt County's percentage of students with discipline incidents is in the 43rd percentile of all Georgia school systems.,2678,Colquitt County's total number of discipline incidents is in the 74th percentile of all Georgia school systems.,0.283,Colquitt County's incidents per student rate is in the 39th percentile of all Georgia school systems.
Columbia County,All Schools,25953,Columbia County's enrollment is in the 91st percentile of all Georgia school systems.,3219,12.4,Columbia County's percentage of students with discipline incidents is in the 31st percentile of all Georgia school systems.,7955,Columbia County's total number of discipline incidents is in the 92nd percentile of all Georgia school systems.,0.307,Columbia County's incidents per student rate is in the 44th percentile of all Georgia school systems.
Commerce City,All Schools,1231,Commerce City's enrollment is in the 19th percentile of all Georgia school systems.,158,12.8,Commerce City's percentage of students with discipline incidents is in the 36th percentile of all Georgia school systems.,288,Commerce City's total number of discipline incidents is in the 16th percentile of all Georgia school systems.,0.234,Commerce City's incidents per student rate is in the 27th percentile of all Georgia school systems.
Commission Charter Schools- Atlanta Heights Charter School,All Schools,827,Commission Charter Schools- Atlanta Heights Charter School's enrollment is in the 13rd percentile of all Georgia school systems.,22,2.7,Commission Charter Schools- Atlanta Heights Charter School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia school systems.,29,Commission Charter Schools- Atlanta Heights Charter School's total number of discipline incidents is in the 3rd percentile of all Georgia school systems.,0.035,Commission Charter Schools- Atlanta Heights Charter School's incidents per student rate is in the 3rd percentile of all Georgia school systems.
Commission Charter Schools- Brookhaven Innovation Academy,All Schools,433,Commission Charter Schools- Brookhaven Innovation Academy's enrollment is in the 6th percentile of all Georgia school systems.,15,3.5,Commission Charter Schools- Brookhaven Innovation Academy's percentage of students with discipline incidents is in the 5th percentile of all Georgia school systems.,20,Commission Charter Schools- Brookhaven Innovation Academy's total number of discipline incidents is in the 2nd percentile of all Georgia school systems.,0.046,Commission Charter Schools- Brookhaven Innovation Academy's incidents per student rate is in the 5th percentile of all Georgia school systems.
Commission Charter Schools- Cirrus Charter Academy,All Schools,539,Commission Charter Schools- Cirrus Charter Academy's enrollment is in the 8th percentile of all Georgia school systems.,91,16.9,Commission Charter Schools- Cirrus Charter Academy's percentage of students with discipline incidents is in the 59th percentile of all Georgia school systems.,141,Commission Charter Schools- Cirrus Charter Academy's total number of discipline incidents is in the 11th percentile of all Georgia school systems.,0.262,Commission Charter Schools- Cirrus Charter Academy's incidents per student rate is in the 32nd percentile of all Georgia school systems.
Commission Charter Schools- Coweta Charter Academy,All Schools,759,Commission Charter Schools- Coweta Charter Academy's enrollment is in the 12th percentile of all Georgia school systems.,23,3,Commission Charter Schools- Coweta Charter Academy's percentage of students with discipline incidents is in the 4th percentile of all Georgia school systems.,33,Commission Charter Schools- Coweta Charter Academy's total number of discipline incidents is in the 4th percentile of all Georgia school systems.,0.043,Commission Charter Schools- Coweta Charter Academy's incidents per student rate is in the 4th percentile of all Georgia school systems.
Commission Charter Schools- Fulton Leadership Academy,All Schools,440,Commission Charter Schools- Fulton Leadership Academy's enrollment is in the 6th percentile of all Georgia school systems.,15,3.4,Commission Charter Schools- Fulton Leadership Academy's percentage of students with discipline incidents is in the 4th percentile of all Georgia school systems.,20,Commission Charter Schools- Fulton Leadership Academy's total number of discipline incidents is in the 2nd percentile of all Georgia school systems.,0.045,Commission Charter Schools- Fulton Leadership Academy's incidents per student rate is in the 4th percentile of all Georgia school systems.
Commission Charter Schools- Pataula Charter Academy,All Schools,586,Commission Charter Schools- Pataula Charter Academy's enrollment is in the 9th percentile of all Georgia school systems.,153,26.1,Commission Charter Schools- Pataula Charter Academy's percentage of students with discipline incidents is in the 91st percentile of all Georgia school systems.,271,Commission Charter Schools- Pataula Charter Academy's total number of discipline incidents is in the 16th percentile of all Georgia school systems.,0.462,Commission Charter Schools- Pataula Charter Academy's incidents per student rate is in the 67th percentile of all Georgia school systems.
Cook County,All Schools,3523,Cook County's enrollment is in the 56th percentile of all Georgia school systems.,695,19.7,Cook County's percentage of students with discipline incidents is in the 72nd percentile of all Georgia school systems.,1786,Cook County's total number of discipline incidents is in the 62nd percentile of all Georgia school systems.,0.507,Cook County's incidents per student rate is in the 74th percentile of all Georgia school systems.
Coweta County,All Schools,22842,Coweta County's enrollment is in the 91st percentile of all Georgia school systems.,2294,10,Coweta County's percentage of students with discipline incidents is in the 17th percentile of all Georgia school systems.,4657,Coweta County's total number of discipline incidents is in the 85th percentile of all Georgia school systems.,0.204,Coweta County's incidents per student rate is in the 21st percentile of all Georgia school systems.
Crawford County,All Schools,1814,Crawford County's enrollment is in the 31st percentile of all Georgia school systems.,277,15.3,Crawford County's percentage of students with discipline incidents is in the 51st percentile of all Georgia school systems.,598,Crawford County's total number of discipline incidents is in the 31st percentile of all Georgia school systems.,0.33,Crawford County's incidents per student rate is in the 52nd percentile of all Georgia school systems.
Crisp County,All Schools,4122,Crisp County's enrollment is in the 62nd percentile of all Georgia school systems.,1175,28.5,Crisp County's percentage of students with discipline incidents is in the 95th percentile of all Georgia school systems.,3263,Crisp County's total number of discipline incidents is in the 80th percentile of all Georgia school systems.,0.792,Crisp County's incidents per student rate is in the 92nd percentile of all Georgia school systems.
Dade County,All Schools,1972,Dade County's enrollment is in the 35th percentile of all Georgia school systems.,263,13.3,Dade County's percentage of students with discipline incidents is in the 39th percentile of all Georgia school systems.,522,Dade County's total number of discipline incidents is in the 28th percentile of all Georgia school systems.,0.265,Dade County's incidents per student rate is in the 33rd percentile of all Georgia school systems.
Dalton City,All Schools,4362,Dalton City's enrollment is in the 64th percentile of all Georgia school systems.,81,1.9,Dalton City's percentage of students with discipline incidents is in the 2nd percentile of all Georgia school systems.,96,Dalton City's total number of discipline incidents is in the 10th percentile of all Georgia school systems.,0.022,Dalton City's incidents per student rate is in the 2nd percentile of all Georgia school systems.
Dawson County,All Schools,2891,Dawson County's enrollment is in the 46th percentile of all Georgia school systems.,325,11.2,Dawson County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,619,Dawson County's total number of discipline incidents is in the 33rd percentile of all Georgia school systems.,0.214,Dawson County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
DeKalb County,All Schools,103298,DeKalb County's enrollment is in the 99th percentile of all Georgia school systems.,13683,13.2,DeKalb County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,30066,DeKalb County's total number of discipline incidents is in the 98th percentile of all Georgia school systems.,0.291,DeKalb County's incidents per student rate is in the 40th percentile of all Georgia school systems.
Decatur City,All Schools,3357,Decatur City's enrollment is in the 53rd percentile of all Georgia school systems.,309,9.2,Decatur City's percentage of students with discipline incidents is in the 14th percentile of all Georgia school systems.,578,Decatur City's total number of discipline incidents is in the 31st percentile of all Georgia school systems.,0.172,Decatur City's incidents per student rate is in the 15th percentile of all Georgia school systems.
Decatur County,All Schools,5771,Decatur County's enrollment is in the 71st percentile of all Georgia school systems.,798,13.8,Decatur County's percentage of students with discipline incidents is in the 43rd percentile of all Georgia school systems.,1827,Decatur County's total number of discipline incidents is in the 63rd percentile of all Georgia school systems.,0.317,Decatur County's incidents per student rate is in the 47th percentile of all Georgia school systems.
Dodge County,All Schools,3382,Dodge County's enrollment is in the 53rd percentile of all Georgia school systems.,432,12.8,Dodge County's percentage of students with discipline incidents is in the 36th percentile of all Georgia school systems.,960,Dodge County's total number of discipline incidents is in the 45th percentile of all Georgia school systems.,0.284,Dodge County's incidents per student rate is in the 39th percentile of all Georgia school systems.
Dooly County,All Schools,1435,Dooly County's enrollment is in the 24th percentile of all Georgia school systems.,561,39.1,Dooly County's percentage of students with discipline incidents is in the 100th percentile of all Georgia school systems.,2015,Dooly County's total number of discipline incidents is in the 66th percentile of all Georgia school systems.,1.404,Dooly County's incidents per student rate is in the 100th percentile of all Georgia school systems.
Dougherty County,All Schools,15626,Dougherty County's enrollment is in the 88th percentile of all Georgia school systems.,2274,14.6,Dougherty County's percentage of students with discipline incidents is in the 46th percentile of all Georgia school systems.,4825,Dougherty County's total number of discipline incidents is in the 87th percentile of all Georgia school systems.,0.309,Dougherty County's incidents per student rate is in the 45th percentile of all Georgia school systems.
Douglas County,All Schools,28209,Douglas County's enrollment is in the 92nd percentile of all Georgia school systems.,5359,19,Douglas County's percentage of students with discipline incidents is in the 69th percentile of all Georgia school systems.,14430,Douglas County's total number of discipline incidents is in the 94th percentile of all Georgia school systems.,0.512,Douglas County's incidents per student rate is in the 75th percentile of all Georgia school systems.
Dublin City,All Schools,2781,Dublin City's enrollment is in the 45th percentile of all Georgia school systems.,654,23.5,Dublin City's percentage of students with discipline incidents is in the 84th percentile of all Georgia school systems.,1345,Dublin City's total number of discipline incidents is in the 55th percentile of all Georgia school systems.,0.484,Dublin City's incidents per student rate is in the 70th percentile of all Georgia school systems.
Early County,All Schools,2302,Early County's enrollment is in the 38th percentile of all Georgia school systems.,564,24.5,Early County's percentage of students with discipline incidents is in the 87th percentile of all Georgia school systems.,1243,Early County's total number of discipline incidents is in the 52nd percentile of all Georgia school systems.,0.54,Early County's incidents per student rate is in the 79th percentile of all Georgia school systems.
Echols County,All Schools,888,Echols County's enrollment is in the 15th percentile of all Georgia school systems.,142,16,Echols County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,244,Echols County's total number of discipline incidents is in the 14th percentile of all Georgia school systems.,0.275,Echols County's incidents per student rate is in the 36th percentile of all Georgia school systems.
Effingham County,All Schools,12171,Effingham County's enrollment is in the 85th percentile of all Georgia school systems.,1808,14.9,Effingham County's percentage of students with discipline incidents is in the 48th percentile of all Georgia school systems.,4899,Effingham County's total number of discipline incidents is in the 87th percentile of all Georgia school systems.,0.403,Effingham County's incidents per student rate is in the 60th percentile of all Georgia school systems.
Elbert County,All Schools,3042,Elbert County's enrollment is in the 48th percentile of all Georgia school systems.,601,19.8,Elbert County's percentage of students with discipline incidents is in the 72nd percentile of all Georgia school systems.,1471,Elbert County's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.484,Elbert County's incidents per student rate is in the 70th percentile of all Georgia school systems.
Emanuel County,All Schools,4725,Emanuel County's enrollment is in the 66th percentile of all Georgia school systems.,807,17.1,Emanuel County's percentage of students with discipline incidents is in the 60th percentile of all Georgia school systems.,2180,Emanuel County's total number of discipline incidents is in the 68th percentile of all Georgia school systems.,0.461,Emanuel County's incidents per student rate is in the 67th percentile of all Georgia school systems.
Evans County,All Schools,2017,Evans County's enrollment is in the 36th percentile of all Georgia school systems.,185,9.2,Evans County's percentage of students with discipline incidents is in the 14th percentile of all Georgia school systems.,304,Evans County's total number of discipline incidents is in the 17th percentile of all Georgia school systems.,0.151,Evans County's incidents per student rate is in the 12th percentile of all Georgia school systems.
Fannin County,All Schools,2648,Fannin County's enrollment is in the 43rd percentile of all Georgia school systems.,426,16.1,Fannin County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,806,Fannin County's total number of discipline incidents is in the 40th percentile of all Georgia school systems.,0.304,Fannin County's incidents per student rate is in the 43rd percentile of all Georgia school systems.
Fayette County,All Schools,18921,Fayette County's enrollment is in the 90th percentile of all Georgia school systems.,1905,10.1,Fayette County's percentage of students with discipline incidents is in the 18th percentile of all Georgia school systems.,3732,Fayette County's total number of discipline incidents is in the 81st percentile of all Georgia school systems.,0.197,Fayette County's incidents per student rate is in the 19th percentile of all Georgia school systems.
