SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Camden County – Camden County High School,2688,99,Camden County High School's enrollment is in the 99th percentile of all Georgia schools.,574,21.4,76,Camden County High School's percentage of students with discipline incidents is in the 76th percentile of all Georgia schools.,1362,98,Camden County High School's total number of discipline incidents is in the 98th percentile of all Georgia schools.,0.507,77,Camden County High School's incidents per student rate is in the 77th percentile of all Georgia schools.
Camden County – Mary Lee Clark Elementary School,585,26,Mary Lee Clark Elementary School's enrollment is in the 26th percentile of all Georgia schools.,44,7.5,37,Mary Lee Clark Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,77,31,Mary Lee Clark Elementary School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.132,35,Mary Lee Clark Elementary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Candler County – Metter High School,596,27,Metter High School's enrollment is in the 27th percentile of all Georgia schools.,161,27,86,Metter High School's percentage of students with discipline incidents is in the 86th percentile of all Georgia schools.,415,75,Metter High School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.696,87,Metter High School's incidents per student rate is in the 87th percentile of all Georgia schools.
Candler County – Metter Middle School,570,24,Metter Middle School's enrollment is in the 24th percentile of all Georgia schools.,142,24.9,83,Metter Middle School's percentage of students with discipline incidents is in the 83rd percentile of all Georgia schools.,266,64,Metter Middle School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.467,74,Metter Middle School's incidents per student rate is in the 74th percentile of all Georgia schools.
Candler County – Metter Intermediate School,544,21,Metter Intermediate School's enrollment is in the 21st percentile of all Georgia schools.,33,6.1,30,Metter Intermediate School's percentage of students with discipline incidents is in the 30th percentile of all Georgia schools.,51,21,Metter Intermediate School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.094,26,Metter Intermediate School's incidents per student rate is in the 26th percentile of all Georgia schools.
Candler County – Metter Elementary School,668,36,Metter Elementary School's enrollment is in the 36th percentile of all Georgia schools.,31,4.6,23,Metter Elementary School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,52,21,Metter Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.078,22,Metter Elementary School's incidents per student rate is in the 22nd percentile of all Georgia schools.
Carroll County – Sharp Creek Elementary School,660,35,Sharp Creek Elementary School's enrollment is in the 35th percentile of all Georgia schools.,48,7.3,36,Sharp Creek Elementary School's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,115,40,Sharp Creek Elementary School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.174,43,Sharp Creek Elementary School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Carroll County – Bowdon Middle School,342,5,Bowdon Middle School's enrollment is in the 5th percentile of all Georgia schools.,60,17.5,67,Bowdon Middle School's percentage of students with discipline incidents is in the 67th percentile of all Georgia schools.,139,45,Bowdon Middle School's total number of discipline incidents is in the 45th percentile of all Georgia schools.,0.406,69,Bowdon Middle School's incidents per student rate is in the 69th percentile of all Georgia schools.
Carroll County – Temple Middle School,478,14,Temple Middle School's enrollment is in the 14th percentile of all Georgia schools.,133,27.8,87,Temple Middle School's percentage of students with discipline incidents is in the 87th percentile of all Georgia schools.,361,71,Temple Middle School's total number of discipline incidents is in the 71st percentile of all Georgia schools.,0.755,89,Temple Middle School's incidents per student rate is in the 89th percentile of all Georgia schools.
Carroll County – Providence Elementary School,482,14,Providence Elementary School's enrollment is in the 14th percentile of all Georgia schools.,23,4.8,24,Providence Elementary School's percentage of students with discipline incidents is in the 24th percentile of all Georgia schools.,33,12,Providence Elementary School's total number of discipline incidents is in the 12th percentile of all Georgia schools.,0.068,19,Providence Elementary School's incidents per student rate is in the 19th percentile of all Georgia schools.
Carroll County – Mount Zion Elementary School,807,54,Mount Zion Elementary School's enrollment is in the 54th percentile of all Georgia schools.,50,6.2,31,Mount Zion Elementary School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,103,38,Mount Zion Elementary School's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.128,35,Mount Zion Elementary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Carroll County – Central Middle School,890,63,Central Middle School's enrollment is in the 63rd percentile of all Georgia schools.,134,15.1,60,Central Middle School's percentage of students with discipline incidents is in the 60th percentile of all Georgia schools.,338,70,Central Middle School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.38,66,Central Middle School's incidents per student rate is in the 66th percentile of all Georgia schools.
Carroll County – Temple High School,704,40,Temple High School's enrollment is in the 40th percentile of all Georgia schools.,142,20.2,74,Temple High School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,347,70,Temple High School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.493,76,Temple High School's incidents per student rate is in the 76th percentile of all Georgia schools.
Carroll County – Bay Springs Middle School,845,59,Bay Springs Middle School's enrollment is in the 59th percentile of all Georgia schools.,254,30.1,90,Bay Springs Middle School's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,749,88,Bay Springs Middle School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,0.886,93,Bay Springs Middle School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Carroll County – Mt. Zion Middle School,344,6,Mt. Zion Middle School's enrollment is in the 6th percentile of all Georgia schools.,48,14,57,Mt. Zion Middle School's percentage of students with discipline incidents is in the 57th percentile of all Georgia schools.,69,28,Mt. Zion Middle School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.201,46,Mt. Zion Middle School's incidents per student rate is in the 46th percentile of all Georgia schools.
Carroll County – Mt. Zion High School,452,11,Mt. Zion High School's enrollment is in the 11th percentile of all Georgia schools.,96,21.2,76,Mt. Zion High School's percentage of students with discipline incidents is in the 76th percentile of all Georgia schools.,168,51,Mt. Zion High School's total number of discipline incidents is in the 51st percentile of all Georgia schools.,0.372,66,Mt. Zion High School's incidents per student rate is in the 66th percentile of all Georgia schools.
Carroll County – Villa Rica Middle,545,21,Villa Rica Middle's enrollment is in the 21st percentile of all Georgia schools.,161,29.5,90,Villa Rica Middle's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,436,76,Villa Rica Middle's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.8,91,Villa Rica Middle's incidents per student rate is in the 91st percentile of all Georgia schools.
