SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Calhoun County – Calhoun County Elementary School,334,5,Calhoun County Elementary School's enrollment is in the 5th percentile of all Georgia schools.,38,11.4,50,Calhoun County Elementary School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,66,26,Calhoun County Elementary School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.198,46,Calhoun County Elementary School's incidents per student rate is in the 46th percentile of all Georgia schools.
Calhoun County – Calhoun County Middle School,148,1,Calhoun County Middle School's enrollment is in the 1st percentile of all Georgia schools.,59,39.9,97,Calhoun County Middle School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,158,49,Calhoun County Middle School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,1.068,95,Calhoun County Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Camden County – Mamie Lou Gross Elementary School,621,30,Mamie Lou Gross Elementary School's enrollment is in the 30th percentile of all Georgia schools.,35,5.6,27,Mamie Lou Gross Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,71,28,Mamie Lou Gross Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.114,31,Mamie Lou Gross Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Camden County – Saint Marys Middle School,1071,76,Saint Marys Middle School's enrollment is in the 76th percentile of all Georgia schools.,178,16.6,64,Saint Marys Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,509,80,Saint Marys Middle School's total number of discipline incidents is in the 80th percentile of all Georgia schools.,0.475,75,Saint Marys Middle School's incidents per student rate is in the 75th percentile of all Georgia schools.
Camden County – Saint Marys Elementary School,737,44,Saint Marys Elementary School's enrollment is in the 44th percentile of all Georgia schools.,31,4.2,21,Saint Marys Elementary School's percentage of students with discipline incidents is in the 21st percentile of all Georgia schools.,74,30,Saint Marys Elementary School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.1,28,Saint Marys Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Camden County – Camden Middle School,1100,78,Camden Middle School's enrollment is in the 78th percentile of all Georgia schools.,219,19.9,73,Camden Middle School's percentage of students with discipline incidents is in the 73rd percentile of all Georgia schools.,597,84,Camden Middle School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,0.543,79,Camden Middle School's incidents per student rate is in the 79th percentile of all Georgia schools.
Camden County – Crooked River Elementary School,678,37,Crooked River Elementary School's enrollment is in the 37th percentile of all Georgia schools.,20,2.9,11,Crooked River Elementary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,56,23,Crooked River Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.083,23,Crooked River Elementary School's incidents per student rate is in the 23rd percentile of all Georgia schools.
Camden County – Matilda Harris Elementary School,674,37,Matilda Harris Elementary School's enrollment is in the 37th percentile of all Georgia schools.,21,3.1,13,Matilda Harris Elementary School's percentage of students with discipline incidents is in the 13rd percentile of all Georgia schools.,55,23,Matilda Harris Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.082,23,Matilda Harris Elementary School's incidents per student rate is in the 23rd percentile of all Georgia schools.
Camden County – Woodbine Elementary School,492,15,Woodbine Elementary School's enrollment is in the 15th percentile of all Georgia schools.,15,3,12,Woodbine Elementary School's percentage of students with discipline incidents is in the 12th percentile of all Georgia schools.,35,13,Woodbine Elementary School's total number of discipline incidents is in the 13rd percentile of all Georgia schools.,0.071,20,Woodbine Elementary School's incidents per student rate is in the 20th percentile of all Georgia schools.
Camden County – Kingsland Elementary School,471,13,Kingsland Elementary School's enrollment is in the 13rd percentile of all Georgia schools.,42,8.9,41,Kingsland Elementary School's percentage of students with discipline incidents is in the 41st percentile of all Georgia schools.,96,36,Kingsland Elementary School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.204,47,Kingsland Elementary School's incidents per student rate is in the 47th percentile of all Georgia schools.
Camden County – Sugarmill Elementary,592,27,Sugarmill Elementary's enrollment is in the 27th percentile of all Georgia schools.,14,2.4,8,Sugarmill Elementary's percentage of students with discipline incidents is in the 8th percentile of all Georgia schools.,37,14,Sugarmill Elementary's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.062,16,Sugarmill Elementary's incidents per student rate is in the 16th percentile of all Georgia schools.
